,grid_id_old,grid_id
0,"(133, 200)","(42, 19)"
2,"(73, 196)","(-17, 16)"
3,"(74, 196)","(-17, 16)"
18,"(74, 196)","(-17, 16)"
20,"(113, 272)","(22, 91)"
21,"(115, 271)","(24, 90)"
26,"(112, 272)","(22, 92)"
27,"(113, 272)","(23, 92)"
30,"(114, 272)","(24, 91)"
32,"(115, 273)","(25, 92)"
36,"(113, 272)","(22, 92)"
40,"(113, 272)","(23, 91)"
42,"(141, 186)","(50, 5)"
44,"(73, 113)","(-18, -68)"
46,"(135, 198)","(44, 17)"
48,"(135, 198)","(44, 17)"
58,"(135, 197)","(45, 16)"
62,"(133, 198)","(43, 18)"
64,"(135, 199)","(45, 18)"
72,"(135, 200)","(44, 19)"
121,"(136, 199)","(45, 19)"
127,"(68, 137)","(-23, -43)"
128,"(68, 137)","(-23, -43)"
129,"(140, 57)","(50, -123)"
133,"(139, 122)","(49, -59)"
135,"(140, 124)","(50, -56)"
138,"(135, 103)","(44, -77)"
140,"(64, 111)","(-26, -69)"
142,"(56, 109)","(-35, -71)"
145,"(71, 111)","(-19, -69)"
153,"(68, 111)","(-22, -69)"
154,"(54, 107)","(-37, -73)"
156,"(52, 107)","(-39, -73)"
159,"(90, 102)","(0, -78)"
161,"(90, 100)","(-1, -80)"
163,"(96, 226)","(5, 45)"
167,"(97, 224)","(7, 43)"
173,"(97, 223)","(7, 43)"
176,"(141, 182)","(50, 2)"
178,"(133, 183)","(43, 3)"
179,"(130, 206)","(40, 25)"
181,"(126, 207)","(35, 27)"
183,"(131, 202)","(40, 21)"
185,"(129, 204)","(38, 24)"
188,"(130, 201)","(40, 21)"
190,"(129, 204)","(38, 24)"
192,"(127, 207)","(37, 26)"
194,"(109, 107)","(18, -74)"
195,"(109, 106)","(19, -74)"
203,"(109, 107)","(18, -74)"
205,"(109, 108)","(18, -72)"
206,"(109, 107)","(18, -74)"
210,"(109, 108)","(19, -72)"
234,"(71, 228)","(-19, 48)"
235,"(75, 231)","(-15, 50)"
238,"(73, 229)","(-18, 48)"
241,"(69, 229)","(-21, 48)"
243,"(66, 225)","(-25, 44)"
251,"(69, 229)","(-21, 48)"
254,"(67, 227)","(-24, 47)"
262,"(76, 230)","(-15, 50)"
264,"(71, 228)","(-19, 48)"
288,"(76, 230)","(-15, 50)"
294,"(77, 230)","(-13, 49)"
298,"(71, 229)","(-19, 49)"
299,"(77, 229)","(-14, 48)"
304,"(69, 229)","(-21, 48)"
306,"(73, 229)","(-18, 48)"
319,"(73, 230)","(-17, 49)"
323,"(73, 229)","(-17, 48)"
331,"(68, 228)","(-23, 48)"
339,"(75, 231)","(-15, 50)"
359,"(71, 229)","(-19, 49)"
360,"(68, 225)","(-23, 44)"
361,"(69, 227)","(-22, 47)"
380,"(71, 215)","(-19, 35)"
381,"(71, 214)","(-20, 33)"
387,"(112, 276)","(21, 96)"
388,"(107, 276)","(16, 96)"
394,"(112, 275)","(21, 95)"
396,"(112, 275)","(21, 95)"
398,"(113, 277)","(23, 96)"
401,"(117, 268)","(27, 87)"
403,"(117, 268)","(27, 87)"
408,"(118, 265)","(28, 84)"
415,"(118, 267)","(27, 87)"
418,"(120, 261)","(30, 81)"
427,"(120, 261)","(30, 81)"
444,"(119, 264)","(28, 83)"
485,"(118, 266)","(27, 85)"
565,"(120, 261)","(30, 81)"
569,"(117, 267)","(27, 86)"
572,"(119, 262)","(28, 82)"
579,"(120, 262)","(29, 81)"
589,"(117, 268)","(27, 88)"
591,"(120, 262)","(29, 81)"
623,"(118, 266)","(28, 85)"
695,"(120, 262)","(29, 81)"
718,"(117, 268)","(27, 87)"
720,"(118, 266)","(28, 85)"
722,"(119, 262)","(28, 82)"
727,"(118, 265)","(28, 85)"
763,"(118, 266)","(28, 86)"
766,"(122, 255)","(31, 74)"
772,"(115, 249)","(25, 69)"
773,"(115, 251)","(25, 70)"
775,"(125, 253)","(34, 72)"
776,"(117, 246)","(26, 65)"
785,"(125, 254)","(35, 73)"
788,"(125, 254)","(34, 73)"
797,"(116, 244)","(25, 63)"
799,"(125, 252)","(34, 72)"
817,"(125, 254)","(34, 73)"
826,"(125, 254)","(35, 73)"
830,"(125, 252)","(34, 72)"
835,"(115, 249)","(25, 69)"
838,"(117, 246)","(26, 65)"
843,"(123, 254)","(33, 74)"
849,"(87, 108)","(-4, -73)"
851,"(97, 303)","(7, 122)"
853,"(98, 305)","(7, 124)"
855,"(97, 306)","(6, 125)"
857,"(88, 210)","(-2, 29)"
858,"(57, 207)","(-33, 26)"
860,"(84, 220)","(-7, 39)"
863,"(84, 220)","(-7, 39)"
867,"(112, 273)","(21, 92)"
875,"(134, 193)","(43, 13)"
877,"(128, 195)","(38, 15)"
879,"(135, 191)","(44, 10)"
883,"(128, 196)","(37, 15)"
887,"(133, 194)","(42, 13)"
891,"(129, 196)","(38, 15)"
893,"(135, 192)","(45, 11)"
895,"(132, 190)","(41, 9)"
913,"(68, 224)","(-22, 44)"
918,"(65, 226)","(-25, 45)"
928,"(73, 217)","(-18, 37)"
930,"(73, 217)","(-18, 37)"
931,"(73, 217)","(-18, 37)"
962,"(120, 261)","(29, 80)"
970,"(120, 262)","(29, 81)"
972,"(117, 267)","(27, 86)"
974,"(117, 268)","(27, 87)"
980,"(119, 262)","(28, 82)"
1005,"(117, 267)","(27, 87)"
1009,"(119, 250)","(28, 69)"
1014,"(80, 105)","(-11, -75)"
1015,"(87, 100)","(-4, -80)"
1019,"(86, 107)","(-4, -74)"
1024,"(105, 302)","(15, 121)"
1027,"(99, 305)","(8, 124)"
1029,"(83, 212)","(-8, 32)"
1031,"(82, 306)","(-9, 125)"
1033,"(141, 178)","(51, -3)"
1034,"(100, 285)","(9, 105)"
1035,"(113, 272)","(22, 91)"
1036,"(114, 269)","(24, 89)"
1047,"(76, 10)","(-14, -171)"
1049,"(115, 298)","(24, 118)"
1050,"(124, 287)","(34, 107)"
1052,"(97, 224)","(6, 44)"
1055,"(128, 205)","(38, 24)"
1057,"(102, 172)","(11, -9)"
1062,"(110, 108)","(20, -72)"
1063,"(73, 217)","(-18, 37)"
1066,"(131, 201)","(40, 20)"
1068,"(131, 200)","(41, 20)"
1076,"(122, 289)","(31, 108)"
1078,"(98, 172)","(7, -8)"
1079,"(100, 223)","(9, 43)"
1080,"(141, 184)","(50, 3)"
1085,"(139, 194)","(48, 13)"
1103,"(142, 191)","(52, 11)"
1104,"(129, 204)","(38, 23)"
1108,"(129, 207)","(38, 26)"
1110,"(110, 108)","(20, -72)"
1112,"(110, 107)","(20, -73)"
1113,"(109, 108)","(18, -72)"
1114,"(109, 106)","(18, -74)"
1130,"(109, 107)","(18, -74)"
1132,"(110, 108)","(20, -73)"
1164,"(110, 254)","(19, 73)"
1165,"(83, 293)","(-7, 113)"
1171,"(82, 299)","(-8, 119)"
1176,"(84, 288)","(-7, 108)"
1188,"(87, 303)","(-4, 122)"
1190,"(82, 297)","(-9, 116)"
1194,"(90, 281)","(0, 101)"
1197,"(92, 301)","(1, 121)"
1203,"(133, 194)","(43, 13)"
1205,"(133, 194)","(43, 13)"
1206,"(133, 194)","(43, 13)"
1209,"(133, 194)","(43, 14)"
1215,"(135, 191)","(45, 10)"
1218,"(131, 194)","(41, 14)"
1221,"(136, 191)","(46, 11)"
1225,"(138, 194)","(48, 14)"
1229,"(138, 195)","(47, 15)"
1231,"(70, 229)","(-20, 49)"
