,grid_id,location,txt,flood_ct
0,"(-54, -72)",['Punta Arenas'],"Located on the Brunswick Peninsula, Punta Arenas is among the largest cities in Patagonia. In 2012, it had a population of 127,454. It is roughly 1,419 km (882 mi) from the coast of Antarctica and 635 km (395 mi) from Ushuaia, the capital of the Argentine province of Tierra Del Fuego.
The Magallanes region is considered part of Chilean Patagonia. Magallanes is Spanish for Magellan, and was named after Ferdinand Magellan, the Portuguese explorer sailing for Spain. While circumnavigating the earth for Spain, he passed close to the present site of Punta Arenas in 1520. Early English navigational documents referred to this site as ""Sandy Point.""
The city proper is located on the northeastern shore of Brunswick Peninsula. Except for the eastern shore, containing the settlements of Guairabo, Rio Amarillo and Punta San Juan, the peninsula is largely uninhabited. The municipality of Punta Arenas includes all of Brunswick Peninsula, as well as all islands west of the Isla Grande de Tierra del Fuego and north of Cockburn and Magdalena channels.
The largest of those are:

Santa Inés Island
Desolación Island
Dawson Island
Aracena Island
Clarence Island
Carlos Island
Wickham IslandExcept Dawson Island, which had a population of about 301 in 2002, the islands are largely uninhabited. Clarence Island had a population of five.",1.0
1,"(-49, -73)","["" O'Higgins""]","In pre-Quaternary times extensive Nothofagus forests covered much of Libertador General Bernardo O'Higgins Region.The Libertador General Bernardo O'Higgins Region is part of the very restricted range of the endangered Chilean Wine Palm, Jubaea chilensis; in prehistoric times this Chilean endemic tree had a significantly larger range.",1.0
2,"(-49, -70)",['Santa Cruz'],"Santa Cruz is on the northern edge of Monterey Bay. The area is losing several feet of beach a year.According to the United States Census Bureau, the city covers an area of 15.8 square miles (41 km2), of which 12.7 square miles (33 km2) is land, and 3.1 square miles (8.0 km2) (19.51%s) is water. To Santa Cruz locals, the area is often discussed in terms of three distinct regions: east side, west side, and midtown.",0.0
3,"(-46, -73)","['Aysen region', 'Aisen del Gral. Carlos Ibañez del Campo province']","The Aysén del General Carlos Ibáñez del Campo Region (Spanish: Región de Aysén, pronounced [ajˈsen], or Región de Aysén del General Carlos Ibáñez del Campo), often shortened to Aysén Region or Aisén, is one of Chile's 16 first order administrative divisions. Although the third largest in area, the region is Chile's most sparsely populated region with a population of 102,317 as of 2017. The capital of the region is Coihaique, the region's former namesake.
The landscape is marked by several glaciations that formed many lakes, channels and fjords. The region contains icefields including the Northern Patagonian Ice Field and the Southern Patagonian Ice Field, the world's third largest after those in Antarctica and Greenland. The northern half of the region feature a north-south string of volcanoes. While the western part of the region is densely vegetated and mountainous, the eastern reaches contain open grasslands and much flat and rolling terrain. 
Aysén Region was the last major area to be effectively incorporated into the Republic of Chile, with the first permanent settlements emerging in the second half of the 19th century and the inland part being settled at the turn of the century. Until the construction of Route 7 (the Carretera Austral, or Southern Highway) in the 1980s, the only overland routes from north to south through the region were extremely primitive tracks.

",0.0
4,"(-46, 168)","['Invercargill', 'Mataura Borough', 'Invercargil', 'Southland county']","Invercargill is the southernmost city in the Commonwealth of Nations. Invercargill is situated on the fertile and alluvial Southland Plains, which is amongst some of New Zealand's most fertile farmland. Southern Invercargill lies on the shore of the New River Estuary, while the northern parts lie on the banks of the Waihopai River. A tributary of the Waihopai is the Otepuni Stream or Creek, which flows from east to west through the city and under the railway yards. 10 kilometres west of the city centre lies Oreti Beach, a long expanse of sand stretching from the Sandy Point area to nearby Riverton.
Invercargill has a temperate oceanic climate. The mean daily temperature ranges from 5.2 °C (41.4 °F) in July to 14 °C (57 °F) in January. The yearly mean temperature is 9.8 °C (49.6 °F). Rainfall averages 1,112 millimetres (43.8 in) annually, and measurable snowfall is occasionally seen during the winter months of June to September. It is tied with neighbouring Dunedin as the cloudiest city in New Zealand with only 1,680 hours of sunshine per annum. Despite its cloudiness, and a relatively high frequency of rainy days, Invercargill receives less rain than either Auckland or Wellington. Invercargill is also New Zealand's second windiest city, after Wellington.",4.0
5,"(-46, 169)",['Gore'],"The Gore Gore Girls is a 1972 comedy horror splatter film directed by Herschell Gordon Lewis. 

",0.0
6,"(-46, 170)","['Clutha district', 'Dunedin', 'Dunedin']","The geography of the Clutha District is dominated by the valley of the Clutha River, which flows southeast from the lakes of Central Otago, bisecting the Clutha District and reaching the Pacific Ocean via two river mouths, one of which is not far from Kaitangata, the other is closer to Kaka Point. The two branches of the river (the Matau and the Kouau) form the island of Inch Clutha.  To the south of this is the rough bush country of the Catlins, with its forests and rugged coastline. To the north of the Clutha valley is mainly rolling hill country, with the plain of the Tokomairaro River to the northeast, along with Lake Waihola and Lake Waipori, which are part of the catchment of the Taieri River. The Waipori River, the Taieri's largest tributary, forms the northeastern border of Clutha District.",2.0
7,"(-45, -71)",[' Alto Rio Surgen'],"The Mexican drug war (also known as the Mexican war on drugs; Spanish: Guerra contra el narcotráfico en México) is the Mexican theater of the global war on drugs, as led by the U.S. federal government, an ongoing asymmetric low-intensity conflict between the Mexican government and various drug trafficking syndicates. When the Mexican military began to intervene in 2006, the government's main objective was to reduce drug-related violence. The Mexican government has asserted that their primary focus is dismantling the cartels, and preventing drug trafficking demand along with U.S. functionaries.Violence escalated soon after the arrest of Miguel Ángel Félix Gallardo in 1989; he was the leader and the founder of the first Mexican drug cartel, the Guadalajara Cartel, an alliance of the current existing cartels (which included the Sinaloa Cartel, the Juarez Cartel, the Tijuana Cartel, and the Sonora Cartel with Aldair Mariano as the leader). After his arrest, the alliance broke and high-ranking members formed their own cartels, fighting for control of territory and trafficking routes.
Although Mexican drug trafficking organizations have existed for several decades, their influence increased after the demise of the Colombian Cali and Medellín cartels in the 1990s. Mexican drug cartels dominate wholesale illicit drug markets and in 2007 controlled 90% of the cocaine entering the United States. Arrests of key cartel leaders, particularly in the Tijuana and Gulf cartels, have led to increasing drug violence as cartels fight for control of the trafficking routes into the United States.Federal law enforcement has been reorganized at least five times since 1982 in various attempts to control corruption and reduce cartel violence. During the same period, there have been at least four elite special forces created as new, corruption-free soldiers who could do battle with Mexico's endemic bribery system. Analysts estimate that wholesale earnings from illicit drug sales range from $13.6 to $49.4 billion annually. The U.S. Congress passed legislation in late June 2008 to provide Mexico with US$1.6 billion for the Mérida Initiative as well as technical advice to strengthen the national justice systems. By the end of President Felipe Calderón's administration (December 1, 2006 – November 30, 2012), the official death toll of the Mexican drug war was at least 60,000. Estimates set the death toll above 120,000 killed by 2013, not including 27,000 missing. Since taking office in 2018, President Andrés Manuel López Obrador declared that the war was over. His comment was criticized, as the homicide rate remains high.",0.0
8,"(-45, -68)","['Escalante - Patagonia', ' Caleta Cordova and Laprida']","The monument stretches from the towns of Big Water, Glendale, and Kanab, Utah in the southwest to the towns of Escalante and Boulder in the northeast. The monument is slightly larger in area than the state of Delaware. After a reduction ordered by presidential proclamation in December 2017, the monument encompassed 1,003,863 acres (4,062 km2), but it was restored to 1,870,000 acres (7,568 km2) in 2021.

The western part of the monument is dominated by the Paunsaugunt Plateau and the Paria River, and is adjacent to Bryce Canyon National Park. This section shows the geologic progression of the Grand Staircase. Features include the slot canyons of Bull Valley Gorge, Willis Creek, and Lick Wash which are accessed from Skutumpah Road.The center section is dominated by a single long ridge, called the Kaiparowits Plateau from the west, and Fifty-Mile Mountain when viewed from the east. Fifty-Mile Mountain stretches southeast from the town of Escalante to the Colorado River in Glen Canyon. The eastern face of the mountain is a 2,200 ft (670 m) escarpment. The western side (the Kaiparowits Plateau) is a shallow slope descending to the south and west.
East of Fifty-Mile Mountain is the Canyons of the Escalante. The monument is bounded by Glen Canyon National Recreation Area on the east and south. The popular hiking, backpacking, and canyoneering areas include Calf Creek Falls off Utah Scenic Byway 12, and Zebra Canyon, Harris Wash, and the Devils Garden. The latter areas are accessed via the Hole-in-the-Rock Road, which extends southeast from Escalante, near the base of Fifty-Mile Mountain. The Dry Fork Slots of Coyote Gulch and lower Coyote Gulch are also located off the Hole-in-the-Rock Road.",2.0
9,"(-45, 169)","['Silverpeaks', 'Otago']","The Dunedin City territorial authority has a land area of 3,314.8 km2 (1,279.9 sq mi), slightly larger than the American state of Rhode Island or the English county of Cambridgeshire, and a little smaller than Cornwall. It was the largest city in land area in New Zealand until the formation of the 5,600 km2 (2,200 sq mi) Auckland Council on 1 November 2010. The Dunedin City Council boundaries since 1989 have extended to Middlemarch in the west, Waikouaiti in the north, the Pacific Ocean in the east and south-east, and the Waipori/Taieri River and the township of Henley in the south-west.
Dunedin is situated at the head of Otago Harbour, a narrow inlet extending south-westward for some 15 miles. The harbour is a recent creation formed by the flooding of two river valleys. From the time of its foundation in 1848, the city has spread slowly over the low-lying flats and nearby hills and across the isthmus to the slopes of the Otago Peninsula.",2.0
