,statistical,statistical_era5,statistical_nlpnlp_cls_transfer.pkl,statistical_nlpnlp_avg.pkl,statistical_nlpnlp_cls_finetune.pkl,statistical_nlpnlp_cls_transfer.pkl,statistical_nlpnlp_cls.pkl,statistical_era5_nlpnlp_cls_transfer.pkl,statistical_era5_nlpnlp_avg.pkl,statistical_era5_nlpnlp_cls_finetune.pkl,statistical_era5_nlpnlp_cls_transfer.pkl,statistical_era5_nlpnlp_cls.pkl
0,0.645180424,0.656616303,0.644138475,0.644138475,0.644138475,0.644138475,0.644138475,0.656616303,0.656616303,0.656616303,0.656616303,0.656616303
1,0.549751937,0.557693411,0.549578937,0.549578937,0.549578937,0.549578937,0.549578937,0.557693411,0.557693411,0.557693411,0.557693411,0.557693411
2,0.802269044,0.831442464,0.815559157,0.815559157,0.815559157,0.815559157,0.815559157,0.831442464,0.831442464,0.831442464,0.831442464,0.831442464
3,0.571471009,0.566590562,0.563601296,0.563601296,0.563601296,0.563601296,0.563601296,0.566590562,0.566590562,0.566590562,0.566590562,0.566590562
4,0.114437266,0.11499402,0.112164996,0.112164996,0.112164996,0.112164996,0.112164996,0.11499402,0.11499402,0.11499402,0.11499402,0.11499402
5,0.288214702,0.241540257,0.254375729,0.254375729,0.254375729,0.254375729,0.254375729,0.241540257,0.241540257,0.241540257,0.241540257,0.241540257
0,0.640285531,0.644664643,0.64095827,0.64095827,0.64095827,0.64095827,0.64095827,0.644664643,0.644664643,0.644664643,0.644664643,0.644664643
1,0.525992456,0.542495211,0.528632357,0.528632357,0.528632357,0.528632357,0.528632357,0.542495211,0.542495211,0.542495211,0.542495211,0.542495211
2,0.756376137,0.811266356,0.759924595,0.759924595,0.759924595,0.759924595,0.759924595,0.811266356,0.811266356,0.811266356,0.811266356,0.811266356
3,0.562988109,0.557350605,0.565490118,0.565490118,0.565490118,0.565490118,0.565490118,0.557350605,0.557350605,0.557350605,0.557350605,0.557350605
4,0.106577972,0.106943019,0.107540596,0.107540596,0.107540596,0.107540596,0.107540596,0.106943019,0.106943019,0.106943019,0.106943019,0.106943019
5,0.326805386,0.247246022,0.328029376,0.328029376,0.328029376,0.328029376,0.328029376,0.247246022,0.247246022,0.247246022,0.247246022,0.247246022
0,0.654043187,0.64185221,0.653852313,0.653852313,0.653852313,0.653852313,0.653852313,0.64185221,0.64185221,0.64185221,0.64185221,0.64185221
1,0.546302362,0.545886801,0.546361942,0.546361942,0.546361942,0.546361942,0.546361942,0.545886801,0.545886801,0.545886801,0.545886801,0.545886801
2,0.817902289,0.815738526,0.81744676,0.81744676,0.81744676,0.81744676,0.81744676,0.815738526,0.815738526,0.815738526,0.815738526,0.815738526
3,0.555635965,0.556041074,0.555917881,0.555917881,0.555917881,0.555917881,0.555917881,0.556041074,0.556041074,0.556041074,0.556041074,0.556041074
4,0.112427803,0.112446097,0.112512773,0.112512773,0.112512773,0.112512773,0.112512773,0.112446097,0.112446097,0.112446097,0.112446097,0.112446097
5,0.23150358,0.235083532,0.232696897,0.232696897,0.232696897,0.232696897,0.232696897,0.235083532,0.235083532,0.235083532,0.235083532,0.235083532
0,0.633346942,0.636235881,0.632434503,0.632434503,0.632434503,0.632434503,0.632434503,0.636235881,0.636235881,0.636235881,0.636235881,0.636235881
1,0.534260067,0.540482161,0.532874614,0.532874614,0.532874614,0.532874614,0.532874614,0.540482161,0.540482161,0.540482161,0.540482161,0.540482161
2,0.762846775,0.801123727,0.764368489,0.764368489,0.764368489,0.764368489,0.764368489,0.801123727,0.801123727,0.801123727,0.801123727,0.801123727
3,0.571974527,0.558232656,0.568245726,0.568245726,0.568245726,0.568245726,0.568245726,0.558232656,0.558232656,0.558232656,0.558232656,0.558232656
4,0.111751256,0.108518526,0.110475093,0.110475093,0.110475093,0.110475093,0.110475093,0.108518526,0.108518526,0.108518526,0.108518526,0.108518526
5,0.337992376,0.260482846,0.327827192,0.327827192,0.327827192,0.327827192,0.327827192,0.260482846,0.260482846,0.260482846,0.260482846,0.260482846
