state,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AK,,,5903.75,11716.46,17612.37,36786.88,15580.51,1048.06,7545.49,31442.739999999998,71563.75,111140.34,18617.21,3698.08,13472.16,69969.14,387179.99,508370.83,32763.760000000002,371270.55,272474.76,33106.520000000004,5153.4,6545.4,20043.29,9395.08,7040.56,254491.71,108068.5,517697.84,197782.15,398029.07,16757.03,645207.86,313432.69,13411.25,94048.98000000001,822325.44,2968448.02,346894.09,73232.37,40819.31,52460.03,0.0,164321.1,1107621.67,29535.95,93942.35
AL,0.0,,34784.86,256567.27,31760528.31,4422922.76,11248130.67,250377.1,2793377.76,120517.1,2777940.85,36409.08,75535.73,39793.72,293658.16000000003,7024966.08,752273.0,211119.72,111133.45,2892592.2800000003,14722595.540000001,1295137.24,8065790.75,69292521.12,5294223.58,1893498.06,546200.41,6386429.44,9275779.64,318920969.47,237638692.04,634180.21,998794.46,3959765.91,11119315.08,1060189.35,5752567.3,3203598.24,2443080.47,44492863.45,8210449.15,428460.20999999996,6981425.04,1299315.04,3247320.12,153439005.01,23178384.04,405466.57
AR,,,77.93,1394319.36,408041.18,319408.03,291490.19,1438287.38,572777.61,1191923.96,96677.25,342130.91,2175942.54,215421.01,616537.78,2588173.62,1218352.72,18366.73,286950.3,509372.11,136018.17,266794.21,1683069.3699999999,1151327.77,214833.62,315252.82,1411256.44,1671078.08,2371358.73,2018008.55,256605.26,1040441.54,465201.36,13347566.56,12642035.25,4198216.23,26614670.51,423703.65,3103224.96,2017908.24,9131053.27,5783675.53,22623329.88,2131066.76,29763181.71,2358115.9899999998,5618148.62,4168.56
AS,,,,,,3205.79,0.0,973.44,5913.2,8589.58,,7663.82,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,4283.72,,,,,,,20391.99,0.0,,,
AZ,,,50921.61,2557998.62,167954.22,1954059.98,125128.74,81736.65,4413731.37,274302.05,22031.41,214389.18,31908.75,248677.59,77391.56999999999,898039.39,11942.22,646975.36,3923639.62,148357.81,511215.35000000003,35724.29,236315.73,220507.05,152581.13,338949.08,80151.93,380549.14,432185.64,1688134.8,1008630.85,2068858.16,1777049.71,675704.82,601394.04,3070571.68,214480.84,363772.67000000004,978086.9,7239272.87,325391.49,1736555.99,1011869.92,1593297.54,4547871.14,239013.49,4733966.4,2068.31
CA,,0.0,236663.52,3125469.95,1562737.32,10066831.32,1261012.55,10966297.13,24558626.94,544996.83,152670.79,28199406.17,91909.49,3320218.32,113276.5,94839.01999999999,971041.16,3404047.12,5787984.92,1055021.01,97538064.78,6889331.87,35663644.97,52360899.06,970217.73,1213403.51,2301059.41,6853617.12,1674617.3900000001,5284445.3,78152787.76,13235376.2,262138.30999999997,3301675.83,1194327.71,10745366.79,2647276.86,2825268.27,1096188.2,12987047.33,1409402.24,5414700.19,34431889.89,20876123.48,37277624.69,1574859.6300000001,7122617.69,78977.48
CO,0.0,,12750.75,151917.81,275988.85,143309.69,107376.4,929264.94,469138.86,452149.49,168881.49,51115.91,53887.81,1357.7,52816.1,52421.299999999996,101035.6,13916.37,83342.75,78870.89,273854.02,106871.19,707028.96,364703.74,1760579.84,39178.38,119262.49,344033.99,45206.69,61489.0,60250.240000000005,91814.34,854091.16,86195.59,672159.32,188330.76,467879.58999999997,714046.53,64786413.29,334102.68,1737837.1,123570.15999999999,56446.77,524450.53,344670.45,155724.86,575891.06,
CT,,3743.0,32368.09,1007355.8,1476092.07,2859159.72,26377.36,5757730.28,570886.2,3472974.89,4152405.87,42171.4,595743.68,66691.83,829287.63,123741.49,1429894.85,35853816.07,364130.05,673741.94,796461.66,6183650.75,60114.44,392150.52,2901020.37,1413972.91,1370605.53,194203.88999999998,312796.18,289269.72,5804712.25,3315216.6,16565424.73,879469.32,694915.48,7462682.74,86853539.99,236781383.05,379801.97000000003,357123.54,41368.13,42774.94,277552.93,8991200.74,588161.23,335490.25,33111721.98,36466.8
DC,,,0.0,21269.2,64620.33,25977.96,756.66,,4669.95,7229.15,72850.71,0.0,0.0,,,,,,17662.09,,,482435.36,0.0,750.0,4788.31,0.0,1155.59,,223436.47999999998,0.0,1204.66,539045.48,,56792.45,8215.5,36711.48,1298691.02,95004.26999999999,25908.41,22760.34,9704.14,14793.329999999998,302574.94,201642.69,52055.72,833497.53,123072.76,
DE,,0.0,47428.48,93388.68,38431.67,169109.22999999998,14794.460000000001,11520.77,88065.52,172262.78,487295.58999999997,7308.42,0.0,17710.0,739793.09,668.21,120680.43,4942580.39,58583.18,752578.17,21338.35,412796.14,9791.61,5565541.47,4416843.48,289588.06,51615.770000000004,18472.59,10087503.96,3636024.17,39914.55,610823.9,84646.70999999999,1457781.97,859997.74,812627.4400000001,3746779.83,16671420.51,249561.88,496820.47000000003,146296.5,1304659.1,61810.58,378578.11,106373.7,1918317.53,7691960.08,6292.26
